partner,participant,gender,no_participants
KOLPING,farmers,female,6
KOLPING,farmers,female,13
CIA_GED,farmers,female,21
Chalinze_District_Council,farmers,female,6
FUAM,farmers,female,22
FUAM,farmers,female,11
SG2000,farmers,female,14
SG2000,government_EAs,female,1
Notore,farmers,female,33
Notore,private_staff,female,1
Notore,farmers,female,6
Notore,private_staff,female,0
Notore,farmers,female,15
Notore,private_staff,female,0
Notore,farmers,female,3
Notore,private_staff,female,0
Notore,farmers,female,18
Notore,private_staff,female,0
Psaltry,farmers,female,27
Psaltry,private_EAs,female,1
CAVAII,farmers,female,15
FUAM,farmers,female,4
FUAM,farmers,female,7
FUAM,farmers,female,1
FUAM,farmers,female,1
FUAM,farmers,female,2
FCI,farmers,female,23
Bagamoyo_District_Council,farmers,female,13
Bagamoyo_District_Council,government_EAs,female,2
Chalinze_District_Council,farmers,female,18
Chalinze_District_Council,farmers,female,14
CAVAII,farmers,female,1
JDPM,farmers,female,32
JDPM,NGO_EAs,female,0
Psaltry,farmers,female,50
Psaltry,private_EAs,female,1
Kilimo_Joint,farmers,female,16
Kilimo_Joint,NA,female,16
FUAM,farmers,female,23
Kilimo_Joint,government_EAs,female,4
SG2000,farmers,female,40
SG2000,farmers,female,18
SG2000,farmers,female,3
Psaltry,farmers,female,14
OYSCGA,farmers,female,20
Psaltry,farmers,female,35
SG2000,farmers,female,16
SG2000,NA,female,0
SG2000,farmers,female,12
SG2000,government_EAs,female,0
Notore,farmers,female,7
Gemehaam_Bees_Limited,farmers,female,10
JDPM,farmers,female,14
Kilimo_Joint,farmers,female,16
Kilimo_Joint,others,female,16
FCI,farmers,female,5
FCI,government_EAs,female,1
FCI,farmers,female,3
CAVAII,farmers,female,15
FCI,farmers,female,5
CAVAII,farmers,female,5
SG2000,farmers,female,17
IITA,NGO_EAs,female,6
Chalinze_District_Council,farmers,female,18
KOLPING,farmers,female,106
OAU,farmers,female,25
CAVAII,farmers,female,5
CAVAII,farmers,female,0
CAVAII,farmers,female,3
CAVAII,others,female,16
FUAM,farmers,female,0
CAVAII,farmers,female,2
FUAM,farmers,female,6
FUAM,farmers,female,5
FUAM,farmers,female,8
OYSCGA,farmers,female,3
CAVAII,farmers,female,17
CAVAII,government_EAs,female,2
CAVAII,farmers,female,2
KOLPING,farmers,female,16
CAVAII,farmers,female,15
Psaltry,farmers,female,21
Psaltry,private_EAs,female,0
Notore,farmers,female,9
Notore,farmers,female,20
Notore,farmers,female,25
Notore,farmers,female,29
Notore,farmers,female,19
Psaltry,farmers,female,11
Psaltry,private_EAs,female,1
FUAM,farmers,female,11
Notore,farmers,female,8
FUAM,farmers,female,10
CAVAII,government_EAs,female,18
KOLPING,farmers,female,18
KOLPING,farmers,female,13
FUAM,farmers,female,1
OYSADEP,farmers,female,10
SG2000,farmers,female,4
FUAM,government_EAs,female,15
JDPM,farmers,female,29
JDPM,NGO_EAs,female,0
JDPM,NGO_staff,female,0
CAVAII,farmers,female,117
CAVAII,government_EAs,female,0
FUAM,farmers,female,6
FUAM,farmers,female,6
CAVAII,farmers,female,100
CAVAII,government_EAs,female,1
CAVAII,farmers,female,9
CAVAII,government_EAs,female,0
CAVAII,private_EAs,female,0
FUAM,farmers,female,16
FUAM,farmers,female,6
FUAM,government_EAs,female,8
FUAM,farmers,female,4
Notore,farmers,female,9
CAVAII,farmers,female,9
Psaltry,farmers,female,0
Psaltry,private_EAs,female,1
OGADEP,farmers,female,10
Notore,farmers,female,47
Notore,farmers,female,30
FADAMA,farmers,female,22
Notore,farmers,female,17
Notore,farmers,female,20
Gemehaam_Bees_Limited,farmers,female,5
KOLPING,farmers,female,14
Gemehaam_Bees_Limited,farmers,female,31
Notore,farmers,female,39
OYSADEP,farmers,female,4
OYSADEP,government_EAs,female,0
FUAM,farmers,female,9
FUAM,government_EAs,female,1
FUAM,farmers,female,9
FUAM,farmers,female,6
Notore,farmers,female,20
Notore,farmers,female,50
FUAM,farmers,female,2
FUAM,farmers,female,11
SG2000,farmers,female,16
SG2000,government_EAs,female,2
Notore,farmers,female,7
SG2000,farmers,female,8
Notore,farmers,female,14
CAVAII,farmers,female,13
CAVAII,government_EAs,female,1
Chalinze_District_Council,farmers,female,14
FUAM,farmers,female,5
Notore,farmers,female,113
FUAM,farmers,female,21
IEVPS,farmers,female,17
OYSADEP,farmers,female,4
Kilimo_Joint,farmers,female,7
Kilimo_Joint,farmers,female,4
CAPAFO,farmers,female,125
OYSADEP,farmers,female,1
FUAM,farmers,female,5
Gemehaam_Bees_Limited,farmers,female,12
Notore,farmers,female,5
Notore,farmers,female,0
CAPAFO,farmers,female,28
FUAM,farmers,female,9
FUAM,farmers,female,2
Notore,farmers,female,49
IITA,government_EAs,female,23
Notore,farmers,female,47
FUAM,farmers,female,9
FUAM,farmers,female,6
FUAM,private_staff,female,6
CAPAFO,farmers,female,4
CAPAFO,private_staff,female,500
FUAM,farmers,female,18
FUAM,farmers,female,15
MEDA,farmers,female,8
CAVAII,farmers,female,7
CAVAII,government_EAs,female,0
CAVAII,private_EAs,female,0
CAVAII,others,female,6
Notore,farmers,female,8
Notore,private_EAs,female,0
Notore,farmers,female,13
Notore,private_EAs,female,0
Notore,farmers,female,10
Notore,private_EAs,female,0
FUAM,farmers,female,12
FUAM,farmers,female,13
Kilimo_Joint,farmers,female,0
Kilimo_Joint,farmers,female,12
Kilimo_Joint,farmers,female,2
TFNC,farmers,female,9
TFNC,farmers,female,16
KOLPING,farmers,female,29
KOLPING,others,female,0
KOLPING,farmers,female,42
KOLPING,others,female,0
KOLPING,farmers,female,4
KOLPING,NA,female,0
TFNC,farmers,female,16
TFNC,farmers,female,14
TFNC,farmers,female,13
CAPAFO,farmers,female,9
OYSADEP,farmers,female,28
FUAM,farmers,female,6
Gemehaam_Bees_Limited,farmers,female,2
Notore,farmers,female,3
FUAM,farmers,female,21
KOLPING,farmers,female,50
KOLPING,others,female,0
Kilimo_Joint,farmers,female,7
MEDA,farmers,female,3
MEDA,government_EAs,female,1
MEDA,researchers,female,2
MEDA,private_staff,female,2
MEDA,government_staff,female,4
MEDA,others,female,0
Chalinze_District_Council,farmers,female,15
SG2000,farmers,female,18
FUAM,farmers,female,6
FUAM,farmers,female,2
SG2000,farmers,female,13
SG2000,researchers,female,0
SG2000,NA,female,13
SG2000,NA,female,13
KOLPING,farmers,female,84
SG2000,farmers,female,9
SG2000,government_EAs,female,0
FUAM,farmers,female,5
Gemehaam_Bees_Limited,farmers,female,30
Psaltry,farmers,female,19
Psaltry,private_EAs,female,0
Gemehaam_Bees_Limited,farmers,female,5
Gemehaam_Bees_Limited,farmers,female,16
FCI,farmers,female,23
FUAM,farmers,female,19
FCI,farmers,female,12
Kilimo_Joint,farmers,female,19
FCI,farmers,female,20
CAPAFO,farmers,female,13
CAPAFO,farmers,female,8
CAPAFO,farmers,female,10
Gemehaam_Bees_Limited,farmers,female,0
CAPAFO,farmers,female,4
CAPAFO,farmers,female,4
CAPAFO,farmers,female,6
KOLPING,farmers,female,8
KOLPING,government_EAs,female,0
KOLPING,farmers,female,8
KOLPING,government_EAs,female,0
KOLPING,farmers,female,6
KOLPING,government_EAs,female,1
FADAMA,farmers,female,28
KOLPING,farmers,female,12
KOLPING,government_EAs,female,1
KOLPING,farmers,female,5
KOLPING,government_EAs,female,1
KOLPING,farmers,female,0
KOLPING,NA,female,0
Psaltry,farmers,female,25
KOLPING,farmers,female,8
KOLPING,government_EAs,female,0
KOLPING,farmers,female,17
KOLPING,government_EAs,female,1
KOLPING,farmers,female,13
KOLPING,government_EAs,female,1
CAVAII,farmers,female,1
KOLPING,farmers,female,4
KOLPING,government_EAs,female,0
KOLPING,government_staff,female,1
KOLPING,farmers,female,6
KOLPING,government_EAs,female,3
KOLPING,government_staff,female,0
KOLPING,farmers,female,18
KOLPING,government_EAs,female,1
KOLPING,government_staff,female,0
KOLPING,farmers,female,16
KOLPING,government_staff,female,3
KOLPING,farmers,female,12
KOLPING,government_staff,female,0
KOLPING,farmers,female,1
KOLPING,government_EAs,female,1
KOLPING,NA,female,2
KOLPING,farmers,female,17
KOLPING,government_staff,female,1
IITA,government_EAs,female,17
OYSADEP,farmers,female,5
FUAM,farmers,female,26
KOLPING,farmers,female,47
KOLPING,farmers,female,11
KOLPING,farmers,female,7
Gemehaam_Bees_Limited,farmers,female,7
Gemehaam_Bees_Limited,farmers,female,2
Gemehaam_Bees_Limited,farmers,female,2
Psaltry,farmers,female,53
FUAM,farmers,female,1
Notore,farmers,female,4
Notore,farmers,female,5
Notore,farmers,female,3
Notore,farmers,female,7
Gemehaam_Bees_Limited,NGO_EAs,female,0
Gemehaam_Bees_Limited,farmers,female,4
KOLPING,farmers,female,0
MEDA,farmers,female,15
MEDA,government_EAs,female,0
FCI,farmers,female,8
FCI,farmers,female,8
CAVAII,farmers,female,0
FUAM,farmers,female,4
FCI,government_EAs,female,1
FCI,farmers,female,8
CAVAII,farmers,female,9
CAVAII,farmers,female,7
FCI,farmers,female,15
FUAM,farmers,female,10
Notore,government_EAs,female,32
Notore,farmers,female,4
MEDA,farmers,female,16
MEDA,government_EAs,female,0
FUAM,farmers,female,3
FUAM,farmers,female,2
SG2000,farmers,female,6
SG2000,government_EAs,female,0
SG2000,farmers,female,12
SG2000,NA,female,12
Notore,NGO_EAs,female,9
FUAM,farmers,female,3
CAVAII,farmers,female,5
CAVAII,government_EAs,female,0
CIA_GED,farmers,female,4
CIA_GED,farmers,female,4
TFNC,others,female,0
TFNC,farmers,female,36
FCI,farmers,female,17
Notore,farmers,female,15
TFNC,government_EAs,female,17
Kilimo_Joint,government_EAs,female,17
CAVAII,farmers,female,14
OYSCGA,farmers,female,0
FUAM,farmers,female,6
SG2000,farmers,female,13
SG2000,government_EAs,female,0
CAVAII,farmers,female,8
CAVAII,farmers,female,2
CAVAII,government_EAs,female,0
MEDA,farmers,female,30
MEDA,government_EAs,female,30
MEDA,researchers,female,3
TFNC,farmers,female,1
TFNC,farmers,female,9
TFNC,government_EAs,female,0
TFNC,others,female,1
OYSADEP,farmers,female,18
OYSADEP,farmers,female,5
FUAM,farmers,female,7
MEDA,government_EAs,female,8
MEDA,farmers,female,7
FUAM,farmers,female,9
MEDA,farmers,female,1
MEDA,government_staff,female,7
FUAM,farmers,female,5
MEDA,farmers,female,4
MEDA,government_EAs,female,2
SG2000,farmers,female,4
SG2000,government_EAs,female,1
Kilimo_Joint,farmers,female,9
Kilimo_Joint,government_staff,female,0
FUAM,farmers,female,4
KOLPING,government_EAs,female,5
KOLPING,government_staff,female,2
KOLPING,farmers,female,1
OYSADEP,farmers,female,55
FCI,farmers,female,12
FCI,government_EAs,female,0
FCI,researchers,female,0
FCI,NA,female,0
FCI,farmers,female,19
FCI,government_EAs,female,1
FCI,researchers,female,0
FCI,NA,female,0
FCI,farmers,female,13
FCI,government_EAs,female,0
FCI,researchers,female,0
FCI,NA,female,0
FUAM,farmers,female,3
FUAM,farmers,female,30
SG2000,farmers,female,19
Notore,farmers,female,20
FUAM,farmers,female,16
FUAM,farmers,female,13
SG2000,farmers,female,14
FUAM,farmers,female,11
FUAM,farmers,female,2
FCI,farmers,female,27
FCI,others,female,1
OYSADEP,farmers,female,19
OYSADEP,farmers,female,27
SG2000,farmers,female,16
SG2000,government_EAs,female,0
OYSADEP,farmers,female,12
FADAMA,farmers,female,22
OYSADEP,farmers,female,5
OYSADEP,farmers,female,12
OYSADEP,farmers,female,9
SG2000,farmers,female,22
FUAM,farmers,female,6
FUAM,farmers,female,6
FUAM,farmers,female,6
FUAM,farmers,female,2
SG2000,farmers,female,19
SG2000,government_EAs,female,0
SG2000,farmers,female,20
SG2000,NA,female,0
FUAM,farmers,female,10
Kilimo_Joint,farmers,female,14
IITA,government_EAs,female,20
CAVAII,farmers,female,13
CAVAII,farmers,female,27
JDPM,farmers,female,7
JDPM,NGO_staff,female,1
CAVAII,farmers,female,0
FCI,farmers,female,27
Chalinze_District_Council,farmers,female,5
Chalinze_District_Council,farmers,female,2
FCI,farmers,female,15
JDPM,farmers,female,15
JDPM,NGO_EAs,female,0
CAVAII,farmers,female,1
Handeni_District_Council,farmers,female,26
FCI,farmers,female,17
FCI,farmers,female,12
FCI,farmers,female,14
FCI,farmers,female,15
FCI,farmers,female,5
KOLPING,farmers,female,210
JDPM,farmers,female,10
MEDA,farmers,female,7
Handeni_District_Council,farmers,female,9
SG2000,farmers,female,25
Chalinze_District_Council,farmers,female,8
FUAM,farmers,female,12
IITA,farmers,female,9
MEDA,farmers,female,8
MEDA,farmers,female,9
MEDA,farmers,female,0
MEDA,farmers,female,11
Kilimo_Joint,farmers,female,25
Kilimo_Joint,government_staff,female,0
MEDA,farmers,female,8
Notore,farmers,female,2
CAVAII,farmers,female,7
CAVAII,farmers,female,38
Chalinze_District_Council,farmers,female,8
MEDA,farmers,female,4
Notore,farmers,female,26
OYSADEP,farmers,female,41
CAPAFO,farmers,female,24
FUAM,farmers,female,29
Kilimo_Joint,farmers,female,5
MEDA,farmers,female,4
Chalinze_District_Council,farmers,female,9
MEDA,farmers,female,5
CAVAII,farmers,female,3
CIA_GED,farmers,female,3
OYSADEP,farmers,female,6
MEDA,farmers,female,12
Jairus_Ogbu,government_EAs,female,1
OYSCGA,farmers,female,0
Kilimo_Joint,farmers,female,12
IEVPS,farmers,female,17
MEDA,farmers,female,7
Kilimo_Joint,farmers,female,38
FUAM,farmers,female,0
Chalinze_District_Council,farmers,female,8
KOLPING,farmers,female,64
FUAM,farmers,female,6
Chalinze_District_Council,farmers,female,9
CIA_GED,farmers,female,56
TFNC,farmers,female,8
FUAM,farmers,female,23
IITA,farmers,female,23
IITA,government_staff,female,0
MEDA,farmers,female,2
IITA,farmers,female,18
IITA,farmers,female,6
IITA,farmers,female,10
IITA,government_staff,female,0
IITA,farmers,female,47
IITA,others,female,0
IITA,farmers,female,27
IITA,government_staff,female,0
FUAM,farmers,female,2
Chalinze_District_Council,farmers,female,6
Kilimo_Joint,farmers,female,19
Kilimo_Joint,NA,female,19
Chalinze_District_Council,farmers,female,4
Notore,farmers,female,16
MEDA,farmers,female,3
Kilimo_Joint,farmers,female,13
Notore,farmers,female,16
Notore,farmers,female,15
CAVAII,farmers,female,56
CAVAII,others,female,0
MEDA,farmers,female,17
Notore,farmers,female,15
Handeni_District_Council,farmers,female,17
Kilimo_Joint,farmers,female,12
Kilimo_Joint,farmers,female,32
Kilimo_Joint,farmers,female,9
MEDA,farmers,female,6
Kilimo_Joint,farmers,female,17
Kilimo_Joint,farmers,female,0
Kilimo_Joint,farmers,female,2
Kilimo_Joint,farmers,female,2
Kilimo_Joint,farmers,female,3
Kilimo_Joint,farmers,female,3
Kilimo_Joint,farmers,female,2
Kilimo_Joint,farmers,female,5
Kilimo_Joint,farmers,female,0
Kilimo_Joint,farmers,female,0
FADAMA,farmers,female,30
MEDA,farmers,female,13
Kilimo_Joint,farmers,female,0
SG2000,farmers,female,7
CAPAFO,farmers,female,32
Kilimo_Joint,farmers,female,17
Kilimo_Joint,government_EAs,female,1
Kilimo_Joint,farmers,female,12
Chalinze_District_Council,farmers,female,14
Chalinze_District_Council,government_EAs,female,0
CAVAII,farmers,female,2
CAVAII,farmers,female,1
Chalinze_District_Council,farmers,female,15
Psaltry,farmers,female,0
Psaltry,private_EAs,female,1
MEDA,farmers,female,4
Psaltry,farmers,female,0
Psaltry,farmers,female,14
Psaltry,farmers,female,15
Psaltry,farmers,female,0
Psaltry,private_EAs,female,0
JDPM,farmers,female,28
JDPM,NGO_staff,female,0
JDPM,farmers,female,28
JDPM,NGO_staff,female,0
JDPM,farmers,female,4
JDPM,NGO_staff,female,0
MEDA,farmers,female,4
MEDA,government_EAs,female,0
MEDA,researchers,female,2
MEDA,government_staff,female,1
MEDA,farmers,female,3
MEDA,farmers,female,9
MEDA,farmers,female,7
SG2000,farmers,female,3
NRCRI,farmers,female,90
JDPM,farmers,female,10
JDPM,farmers,female,20
JDPM,farmers,female,11
JDPM,farmers,female,10
MEDA,farmers,female,6
MEDA,farmers,female,4
JDPM,farmers,female,7
JDPM,NGO_EAs,female,0
MEDA,farmers,female,3
MEDA,farmers,female,2
CAVAII,farmers,female,5
KOLPING,farmers,female,326
JDPM,farmers,female,1
JDPM,NGO_EAs,female,0
FUAM,farmers,female,9
KOLPING,farmers,female,207
FCI,farmers,female,6
FCI,government_EAs,female,0
FCI,researchers,female,0
FCI,NA,female,0
FUAM,government_EAs,female,9
SG2000,farmers,female,15
SG2000,farmers,female,16
SG2000,farmers,female,5
MEDA,farmers,female,9
Notore,farmers,female,7
FCI,farmers,female,12
FCI,government_EAs,female,1
FCI,researchers,female,0
FCI,NA,female,4
KOLPING,farmers,female,12
JDPM,farmers,female,10
JDPM,NGO_staff,female,0
JDPM,farmers,female,14
JDPM,NGO_staff,female,0
JDPM,farmers,female,2
JDPM,NGO_staff,female,0
JDPM,farmers,female,16
JDPM,NGO_staff,female,0
SG2000,farmers,female,5
SG2000,government_EAs,female,1
Notore,farmers,female,0
MEDA,farmers,female,18
MEDA,farmers,female,1
CAVAII,farmers,female,2
CAVAII,government_EAs,female,0
CIA_GED,farmers,female,0
MEDA,farmers,female,0
MEDA,farmers,female,10
MEDA,farmers,female,37
MEDA,farmers,female,4
FCI,farmers,female,8
FCI,government_EAs,female,0
FCI,researchers,female,0
FCI,farmers,female,14
FCI,government_EAs,female,0
FCI,researchers,female,0
FCI,farmers,female,9
FCI,government_EAs,female,1
FCI,researchers,female,0
JDPM,farmers,female,3
MEDA,farmers,female,4
JDPM,farmers,female,10
MEDA,farmers,female,3
SG2000,farmers,female,5
SG2000,government_EAs,female,0
SG2000,farmers,female,8
SG2000,government_EAs,female,0
SG2000,farmers,female,5
SG2000,government_EAs,female,0
SG2000,farmers,female,12
SG2000,government_EAs,female,0
SG2000,government_EAs,female,0
SG2000,farmers,female,4
JDPM,farmers,female,11
FUAM,farmers,female,17
OYSADEP,farmers,female,11
MEDA,farmers,female,3
KOLPING,farmers,female,3
KOLPING,farmers,female,28
KOLPING,others,female,1
KOLPING,farmers,female,35
KOLPING,others,female,6
KOLPING,farmers,female,18
KOLPING,others,female,6
KOLPING,farmers,female,57
KOLPING,others,female,4
TFNC,farmers,female,34
MEDA,farmers,female,9
MEDA,farmers,female,12
MEDA,farmers,female,1
MEDA,farmers,female,9
MEDA,farmers,female,1
MEDA,farmers,female,16
OAU,farmers,female,9
OAU,others,female,2
Notore,farmers,female,4
SG2000,farmers,female,0
SG2000,government_EAs,female,1
MEDA,government_EAs,female,2
MEDA,NA,female,2
MEDA,farmers,female,0
MEDA,government_EAs,female,0
MEDA,farmers,female,5
MEDA,government_EAs,female,0
MEDA,farmers,female,2
MEDA,government_EAs,female,0
CAVAII,farmers,female,8
MEDA,farmers,female,3
KOLPING,farmers,female,11
KOLPING,government_EAs,female,1
KOLPING,NGO_EAs,female,1
KOLPING,NGO_staff,female,1
KOLPING,farmers,female,16
KOLPING,government_EAs,female,0
KOLPING,farmers,female,9
KOLPING,farmers,female,16
JDPM,farmers,female,36
JDPM,NGO_EAs,female,0
MEDA,farmers,female,6
MEDA,government_EAs,female,1
MEDA,farmers,female,22
MEDA,government_EAs,female,0
KOLPING,farmers,female,384
TFNC,farmers,female,4
FUAM,farmers,female,12
FADAMA,farmers,female,32
MEDA,farmers,female,10
FUAM,farmers,female,2
FUAM,farmers,female,0
FUAM,farmers,female,6
Kilimo_Joint,farmers,female,5
Kilimo_Joint,government_EAs,female,6
CAVAII,farmers,female,4
CAVAII,farmers,female,7
Kilimo_Joint,farmers,female,9
Kilimo_Joint,government_EAs,female,0
Kilimo_Joint,others,female,1
FCI,farmers,female,17
OYSADEP,farmers,female,10
OYSADEP,government_EAs,female,0
KOLPING,farmers,female,8
KOLPING,government_EAs,female,0
